machine_id,timestamp,temperature,vibration,pression,courant,panne,anomalie
0,2023-01-01 00:00:00,-1.1498092675652918,-1.1516752668217467,-1.8794574495123828,-1.7557648300832585,0,False
0,2023-01-01 01:00:00,-1.1540362477451773,-1.1495952104307292,-1.6907769119750906,-1.7428883594265712,0,False
0,2023-01-01 02:00:00,-1.1487038333468595,-1.152049338462077,-1.6780324320321833,-1.7483346056725888,0,False
0,2023-01-01 03:00:00,-1.1427700529671025,-1.1501470283613833,-1.5742063267482398,-1.7375132046912005,0,False
0,2023-01-01 04:00:00,-1.1545467284136195,-1.1562088954261676,-1.9858072203788002,-1.7280809526748895,0,False
0,2023-01-01 05:00:00,-1.1545017451536599,-1.1480646611936218,-1.5438877106038227,-1.7020981070119066,0,False
0,2023-01-01 06:00:00,-1.142257460548815,-1.1488421200984642,-2.2829454607299184,-1.7270874844743729,0,False
0,2023-01-01 07:00:00,-1.1476738701212401,-1.1519517871552605,-1.8151700484674844,-1.7545256385593748,0,False
0,2023-01-01 08:00:00,-1.1559503724158269,-1.1462335109343034,-1.7816677833520278,-1.689917426502536,0,False
0,2023-01-01 09:00:00,-1.149096981501604,-1.145124243649521,-1.5279864490159711,-1.7337961849282044,0,False
0,2023-01-01 10:00:00,-1.155819880057889,-1.1548774305444902,-1.6635085538376762,-1.7141094982870533,0,False
0,2023-01-01 11:00:00,-1.1557905617672044,-1.1515886715490937,-1.9827018610291127,-1.7007230694946893,0,False
0,2023-01-01 12:00:00,-1.1509846513636817,-1.1515748699070623,-1.8865244833188335,-1.704688253184524,0,False
0,2023-01-01 13:00:00,-1.1654392928661548,-1.1521933328479421,-1.6188970285625275,-1.6823210389440815,0,False
0,2023-01-01 14:00:00,-1.1641272014175676,-1.1453476528798725,-1.6796139611043996,-1.6947811455193504,0,False
0,2023-01-01 15:00:00,-1.1562606683580012,-1.1492460267499218,-1.7902782221294626,-1.723968942065829,0,False
0,2023-01-01 16:00:00,-1.1592468527032351,-1.1494794903732353,-1.766508957865796,-1.6521131609726816,0,False
0,2023-01-01 17:00:00,-1.1502739855390747,-1.1561326537526126,-1.5003803871876347,-1.6961550294030507,0,False
0,2023-01-01 18:00:00,-1.1584520118430883,-1.145940266544348,-1.7714183902150908,-1.7023058828223658,0,False
0,2023-01-01 19:00:00,-1.1617997083608873,-1.1531140701578102,-1.6732118841401544,-1.6749398399217694,0,False
0,2023-01-01 20:00:00,-1.142393249691628,-1.1480773033151155,-1.1642039794478853,-1.6896905880445594,0,False
0,2023-01-01 21:00:00,-1.1537275334352202,-1.147202255484382,-1.9699138339669366,-1.684504484956914,0,False
0,2023-01-01 22:00:00,-1.1517094381990085,-1.1429961397580937,-2.06442472278668,-1.634492481362167,0,False
0,2023-01-01 23:00:00,-1.1617039380935552,-1.1532277247473595,-1.4706235149089433,-1.6965986284526866,0,False
0,2023-01-02 00:00:00,-1.155736357508808,-1.1597706430519104,-1.7974644878158736,-1.6958512592035746,0,False
0,2023-01-02 01:00:00,-1.1512828816265506,-1.1474081102287081,-1.7148045347099448,-1.6841007799439363,0,False
0,2023-01-02 02:00:00,-1.1597276202593971,-1.1411499636869542,-1.8171248407686664,-1.6603409694602194,0,False
0,2023-01-02 03:00:00,-1.149411844536479,-1.1432719363977644,-1.6983033169809352,-1.7180813075358021,0,False
0,2023-01-02 04:00:00,-1.155935331421741,-1.147193339568929,-1.2790955972418645,-1.7269391882785388,0,False
0,2023-01-02 05:00:00,-1.1538120142865107,-1.1498528874832639,-1.4563428900240378,-1.6934098627384024,0,False
0,2023-01-02 06:00:00,-1.1558527703117505,-1.14481778357447,-1.4411551405308587,-1.71582698583184,0,False
0,2023-01-02 07:00:00,-1.1392985778275182,-1.1516299190364006,-1.9513797114663438,-1.6862042605416268,0,False
0,2023-01-02 08:00:00,-1.1518058132127842,-1.1460133261456649,-1.8901385066133614,-1.6630812833709667,0,False
0,2023-01-02 09:00:00,-1.1587859463765058,-1.1458628328807823,-2.26768683360482,-1.6934902217079184,0,False
